year,sid,customer_rows,providers,distinct_providers,max_distance_km
2023,132980.0,2,"LAPAN, NASA",2,0.2125516799947149
2023,132981.0,2,"LAPAN, NASA",2,0.217494610295118
2023,132982.0,2,"LAPAN, NASA",2,0.2170951274705715
2023,132984.0,2,"LAPAN, NASA",2,0.21110549011620452
2023,133737.0,2,"LAPAN, NASA",2,0.01337907089729633
2023,133741.0,2,"LAPAN, NASA",2,0.010997116290062493
2023,133744.0,2,"LAPAN, NASA",2,0.006474771826690094
2023,133745.0,2,"LAPAN, NASA",2,0.007111575868415793
2023,134259.0,2,"LAPAN, NASA",2,0.11532496036948167
2023,134266.0,2,"LAPAN, NASA",2,0.11504424082546612
2023,134273.0,2,"LAPAN, NASA",2,0.11637052183387746
2023,134945.0,2,"LAPAN, NASA",2,0.07258282061048592
2023,134946.0,2,"LAPAN, NASA",2,0.07241297490213006
2023,134948.0,2,"LAPAN, NASA",2,0.07130314526950168
2023,135015.0,2,"LAPAN, NASA",2,0.17377602825817384
2023,135016.0,2,"LAPAN, NASA",2,0.17989528157989257
2023,135017.0,2,"LAPAN, NASA",2,0.17439879422933297
2023,135018.0,2,"LAPAN, NASA",2,0.17912107192855362
2023,135213.0,2,"LAPAN, NASA",2,0.12233977481642598
2023,135214.0,2,"LAPAN, NASA",2,0.12979012569153967
2023,135216.0,2,"LAPAN, NASA",2,0.130895262526463
2023,135218.0,2,"LAPAN, NASA",2,0.12095368326993794
2023,135221.0,2,"LAPAN, NASA",2,0.12283681890230766
2023,135234.0,2,"LAPAN, NASA",2,0.12524824649996721
2023,135239.0,2,"LAPAN, NASA",2,0.12414288834966763
2023,135240.0,2,"LAPAN, NASA",2,0.1277109667094474
2023,135252.0,2,"LAPAN, NASA",2,0.12660753843467673
2023,135253.0,2,"LAPAN, NASA",2,0.13035895442952264
2023,135256.0,2,"LAPAN, NASA",2,0.12503282230723334
2023,135263.0,2,"LAPAN, NASA",2,0.12376141735250705
2023,135300.0,2,"LAPAN, NASA",2,0.12193141828651115
2023,136891.0,2,"LAPAN, NASA",2,0.19808510923363806
2023,136893.0,2,"LAPAN, NASA",2,0.2003724894153714
2023,136971.0,2,"LAPAN, NASA",2,0.2018750729087291
2023,136972.0,2,"LAPAN, NASA",2,0.19642459821167935
2023,137019.0,2,"LAPAN, NASA",2,0.19551074191026324
2023,137031.0,2,"LAPAN, NASA",2,0.19409165794771527
2023,137032.0,2,"LAPAN, NASA",2,0.19172201117135856
2023,137053.0,2,"LAPAN, NASA",2,0.19511339735497257
2023,137054.0,2,"LAPAN, NASA",2,0.19494629042728176
2023,137055.0,2,"LAPAN, NASA",2,0.20022127586913216
2023,137056.0,2,"LAPAN, NASA",2,0.1963741444828446
2023,137057.0,2,"LAPAN, NASA",2,0.1923682729810839
2023,137058.0,2,"LAPAN, NASA",2,0.1931635736862062
2023,137062.0,2,"LAPAN, NASA",2,0.1942330936249608
2023,137065.0,2,"LAPAN, NASA",2,0.19906316714532865
2023,137069.0,2,"LAPAN, NASA",2,0.19920795596980775
2023,137070.0,2,"LAPAN, NASA",2,0.19499735544856125
2023,137256.0,2,"LAPAN, NASA",2,0.4000945559594355
2023,137257.0,2,"LAPAN, NASA",2,0.40272787492595974
2023,137260.0,2,"LAPAN, NASA",2,0.39788797440932094
2023,137518.0,2,"LAPAN, NASA",2,0.15443613194653358
2023,138113.0,2,"LAPAN, NASA",2,0.04176493970626673
2023,138137.0,2,"LAPAN, NASA",2,0.0361516131352109
2023,138158.0,2,"LAPAN, NASA",2,0.04033982746145127
2023,138173.0,2,"LAPAN, NASA",2,0.04302550112891513
2023,138174.0,2,"LAPAN, NASA",2,0.03901557953701185
2023,138522.0,2,"LAPAN, NASA",2,0.07092428997941616
2023,139175.0,2,"LAPAN, NASA",2,0.1626979279617129
2023,139177.0,2,"LAPAN, NASA",2,0.15852860416073875
2023,139178.0,2,"LAPAN, NASA",2,0.15994536543218366
2023,139179.0,2,"LAPAN, NASA",2,0.15724663034447714
2023,139188.0,2,"LAPAN, NASA",2,0.16746932072870419
2023,139193.0,2,"LAPAN, NASA",2,0.16637008048823373
2023,139195.0,2,"LAPAN, NASA",2,0.16165210258188042
2023,139196.0,2,"LAPAN, NASA",2,0.16707946353578573
2023,139198.0,2,"LAPAN, NASA",2,0.1632413004145364
2023,139200.0,2,"LAPAN, NASA",2,0.15977402204843458
2023,139205.0,2,"LAPAN, NASA",2,0.1590208445054767
2023,139435.0,2,"LAPAN, NASA",2,0.18397635778231405
2023,139438.0,2,"LAPAN, NASA",2,0.18021219442894412
2023,140167.0,2,"LAPAN, NASA",2,0.4338281971239562
2023,140168.0,2,"LAPAN, NASA",2,0.4295241116756085
2023,583909.0,2,"LAPAN, NASA",2,0.0356191874221509
2023,583959.0,2,"LAPAN, NASA",2,0.04917479590861732
2023,583960.0,2,"LAPAN, NASA",2,0.051270424823259254
2023,584362.0,2,"LAPAN, NASA",2,0.11671171413210779
2023,584368.0,2,"LAPAN, NASA",2,0.08228295402925499
2023,584429.0,2,"LAPAN, NASA",2,0.03312668412960249
2023,584430.0,2,"LAPAN, NASA",2,0.018622533119228
2023,584438.0,2,"LAPAN, NASA",2,0.034098241903826494
2023,584439.0,2,"LAPAN, NASA",2,0.02355765476106861
2023,585038.0,2,"LAPAN, NASA",2,0.03148997786876508
2023,585039.0,2,"LAPAN, NASA",2,0.03242775924219935
2023,585040.0,2,"LAPAN, NASA",2,0.03298113812807049
2023,585041.0,2,"LAPAN, NASA",2,0.032792424334054646
2023,585044.0,2,"LAPAN, NASA",2,0.015559436444164229
2023,585295.0,2,"LAPAN, NASA",2,0.06154153204110547
2023,585296.0,2,"LAPAN, NASA",2,0.12232654363848142
2023,585297.0,2,"LAPAN, NASA",2,0.061341952820005326
2023,585298.0,2,"LAPAN, NASA",2,0.06095162095358575
2023,585623.0,2,"LAPAN, NASA",2,0.04013260450651749
2023,585624.0,2,"LAPAN, NASA",2,0.039359471809368184
2023,585625.0,2,"LAPAN, NASA",2,0.02249451330229635
2023,585809.0,2,"LAPAN, NASA",2,0.08713639310561537
2023,585810.0,2,"LAPAN, NASA",2,0.08611698338046743
2023,587200.0,2,"LAPAN, NASA",2,0.02073302455639975
2023,587201.0,2,"LAPAN, NASA",2,0.01975352055316687
2023,587427.0,2,"LAPAN, NASA",2,0.00661788072656961
2023,587433.0,2,"LAPAN, NASA",2,0.006555644570748339
2023,587436.0,2,"LAPAN, NASA",2,0.006084664332058076
2023,587745.0,2,"LAPAN, NASA",2,0.018168537042086663
