customer_id,year,Sumber,Satellite,primary_500m,same_sat_2km,any_sat_500m,same_sat_wide_time_500m
2019:167,2019,LAPAN,Aqua,False,False,False,False
2019:168,2019,ASMC,NOAA20,False,False,False,False
2019:169,2019,ASMC,NOAA20,False,False,False,False
2019:170,2019,LAPAN,Unknown,False,False,True,False
2019:171,2019,LAPAN,Unknown,False,False,True,False
2019:173,2019,LAPAN,Unknown,False,False,True,False
2019:176,2019,LAPAN,Terra,False,False,False,False
2019:177,2019,LAPAN,Aqua,False,False,True,False
2019:179,2019,LAPAN,Aqua,False,False,True,False
2019:185,2019,LAPAN,Aqua,False,False,False,False
2019:187,2019,LAPAN,Aqua,False,False,False,False
2019:189,2019,LAPAN,Aqua,False,False,False,False
2019:190,2019,ASMC,Unknown,False,False,False,False
2019:191,2019,ASMC,NOAA20,False,False,False,False
2019:195,2019,ASMC,Unknown,False,False,False,False
2019:197,2019,LAPAN,Unknown,False,False,True,False
2019:200,2019,LAPAN,Unknown,False,False,True,False
2019:201,2019,LAPAN,Aqua,False,True,True,False
2019:203,2019,LAPAN,Unknown,False,False,True,False
2019:205,2019,LAPAN,SNPP,False,False,True,False
2019:206,2019,LAPAN,SNPP,False,False,True,False
2019:207,2019,LAPAN,SNPP,False,False,True,False
2019:208,2019,LAPAN,Unknown,False,False,True,False
2019:211,2019,LAPAN,Unknown,False,False,False,False
2019:212,2019,LAPAN,SNPP,False,False,True,False
2019:213,2019,LAPAN,SNPP,False,False,True,False
2019:214,2019,LAPAN,Unknown,False,False,True,False
2019:215,2019,LAPAN,SNPP,False,False,True,False
2019:217,2019,LAPAN,Unknown,False,False,True,False
2019:218,2019,LAPAN,Unknown,False,False,True,False
2019:219,2019,LAPAN,SNPP,False,False,True,False
2019:220,2019,LAPAN,Unknown,False,False,True,False
2019:221,2019,LAPAN,Unknown,False,False,True,False
2019:222,2019,LAPAN,Unknown,False,False,True,False
2019:223,2019,LAPAN,Unknown,False,False,True,False
2019:224,2019,LAPAN,Unknown,False,False,True,False
2019:226,2019,LAPAN,Unknown,False,False,True,False
2019:227,2019,LAPAN,Unknown,False,False,True,False
2019:228,2019,LAPAN,Unknown,False,False,True,False
2019:229,2019,LAPAN,SNPP,False,False,True,False
2019:232,2019,LAPAN,Aqua,False,False,True,False
2019:233,2019,LAPAN,Aqua,False,False,False,False
2019:234,2019,ASMC,NOAA20,False,False,False,False
2019:235,2019,ASMC,NOAA20,False,False,False,False
2019:236,2019,LAPAN,Aqua,False,False,True,False
2019:237,2019,LAPAN,Aqua,False,False,True,False
2019:240,2019,LAPAN,SNPP,False,False,True,False
2019:247,2019,LAPAN,Aqua,False,False,True,False
2019:248,2019,LAPAN,Aqua,False,False,True,False
2019:249,2019,ASMC,NOAA20,False,False,False,False
2019:250,2019,LAPAN,SNPP,False,False,True,False
2019:251,2019,LAPAN,SNPP,False,False,True,False
2019:252,2019,LAPAN,Aqua,False,False,True,False
2019:253,2019,LAPAN,Aqua,False,False,True,False
2019:262,2019,LAPAN,SNPP,False,False,True,False
2019:263,2019,LAPAN,SNPP,False,False,True,False
2019:279,2019,LAPAN,SNPP,False,False,True,True
2019:286,2019,LAPAN,Terra,False,False,True,False
2019:287,2019,LAPAN,Terra,False,False,True,False
2019:288,2019,LAPAN,Terra,False,False,True,False
2019:289,2019,LAPAN,Terra,False,False,False,False
2019:290,2019,LAPAN,Terra,False,False,True,False
2019:291,2019,LAPAN,Terra,False,False,False,False
2019:292,2019,ASMC,NOAA20,False,False,False,False
2019:329,2019,LAPAN,Terra,False,True,False,False
2019:341,2019,LAPAN,Terra,False,True,False,False
2019:346,2019,LAPAN,Terra,False,True,False,False
2019:348,2019,LAPAN,Terra,False,True,False,False
2019:350,2019,LAPAN,Aqua,False,True,True,False
2019:351,2019,LAPAN,Aqua,False,True,True,False
2019:352,2019,LAPAN,Aqua,False,True,False,False
2019:353,2019,LAPAN,Aqua,False,True,True,False
2019:355,2019,LAPAN,Aqua,False,True,True,False
