customer_index,sid,distance_km,delta_minutes,same_satellite,unknown_satellite,time_residual_minutes,candidate_count
396,904975,0.28477354099426533,404.0,True,False,-16.0,6
397,15968,0.03972410713177653,362.0,True,False,-58.0,1
398,905018,0.2136776669883781,404.0,True,False,-16.0,8
399,15945,0.043976578564207086,362.0,True,False,-58.0,1
400,904968,0.253201480632991,404.0,True,False,-16.0,6
401,904963,0.2722976239741757,404.0,True,False,-16.0,6
402,905159,0.23127043624511123,404.0,True,False,-16.0,4
403,905047,0.2385933569677527,404.0,True,False,-16.0,5
404,15966,0.0386062733165083,362.0,True,False,-58.0,1
405,15961,0.042355829925778285,362.0,True,False,-58.0,1
406,905163,0.29454378815315124,404.0,True,False,-16.0,3
407,905157,0.24464288361022357,404.0,True,False,-16.0,4
408,15967,0.035430879146498485,362.0,True,False,-58.0,1
409,15963,0.04112777843927233,362.0,True,False,-58.0,1
410,905139,0.2374513188429995,404.0,True,False,-16.0,4
411,905124,0.22899895785187868,404.0,True,False,-16.0,4
412,904970,0.26947027803254103,404.0,True,False,-16.0,6
413,905136,0.26219135291410184,404.0,True,False,-16.0,4
414,905045,0.22557322744534825,404.0,True,False,-16.0,5
416,905941,0.30369538317371736,364.0,True,False,-56.0,3
418,905956,0.2646718758541234,364.0,True,False,-56.0,3
422,905939,0.27170442819613516,364.0,True,False,-56.0,2
427,905943,0.33583112485610384,364.0,True,False,-56.0,1
433,16189,0.04230916210004228,401.0,True,False,-19.0,1
435,16190,0.04614126072599107,401.0,True,False,-19.0,1
437,906311,0.06914073209532541,363.0,True,False,-57.0,2
439,906371,0.3421934457527691,363.0,True,False,-57.0,5
442,906206,0.34777191079886965,363.0,True,False,-57.0,3
443,906317,0.11801319155940256,363.0,True,False,-57.0,6
445,906385,0.3048005605342853,363.0,True,False,-57.0,3
446,906211,0.36550716680482315,363.0,True,False,-57.0,2
447,906367,0.3277756490539316,363.0,True,False,-57.0,5
449,906315,0.09343423129795331,363.0,True,False,-57.0,6
450,906196,0.31154796532127604,363.0,True,False,-57.0,3
452,906365,0.3193856871248398,363.0,True,False,-57.0,4
453,906362,0.309415091520294,363.0,True,False,-57.0,4
454,906321,0.08192621769157356,363.0,True,False,-57.0,4
455,906369,0.33563345599260985,363.0,True,False,-57.0,5
459,906319,0.13883494204958205,363.0,True,False,-57.0,6
462,16468,0.014864570590771923,392.0,True,False,-28.0,1
463,16464,0.014611696827343094,392.0,True,False,-28.0,1
464,16457,0.010589093308083433,392.0,True,False,-28.0,1
465,16459,0.015357211643031105,392.0,True,False,-28.0,1
466,16454,0.020540035506496433,392.0,True,False,-28.0,1
467,16453,0.014625884111174948,392.0,True,False,-28.0,1
468,16469,0.017973553505520372,392.0,True,False,-28.0,1
469,16466,0.017626958625414895,392.0,True,False,-28.0,1
471,16461,0.012786734914688926,392.0,True,False,-28.0,1
472,16458,0.011538616165761208,392.0,True,False,-28.0,1
474,16452,0.010300373355294004,392.0,True,False,-28.0,1
475,16462,0.01865301107831688,392.0,True,False,-28.0,1
476,16460,0.020366168948165828,392.0,True,False,-28.0,1
477,16467,0.013479575740600828,392.0,True,False,-28.0,1
478,16455,0.010440711719210538,392.0,True,False,-28.0,1
479,16417,0.01798011560621915,392.0,True,False,-28.0,1
480,16465,0.018768038965571165,392.0,True,False,-28.0,1
482,16470,0.017108206650364034,392.0,True,False,-28.0,1
483,16463,0.014276683288386898,392.0,True,False,-28.0,1
484,16456,0.015726303752167423,392.0,True,False,-28.0,1
497,16713,0.05197124472838299,396.0,True,False,-24.0,1
498,907851,0.24668463367278431,383.0,True,False,-37.0,1
499,16719,0.04210569057281787,396.0,True,False,-24.0,1
