year,rule,listed_and_selected,unlisted_selected,listed_missed,unlisted_not_selected,selected,listed,listed_recall,listed_precision_proxy,listed_f1_proxy
2019,quoted + nominal_VIIRS_or_MODIS>=50,4855,144127,2459,41308,148982,7314,0.6637954607601859,0.03258782940220966,0.062125710190919795
2019,quoted + high_confidence_only,1305,11232,6009,174203,12537,7314,0.17842493847415913,0.104091888011486,0.13147952244219435
2019,quoted + type0,5433,151222,1881,34213,156655,7314,0.7428219852337982,0.0346813060547062,0.06626862394720953
2019,quoted + day_only,3914,71670,3400,113765,75584,7314,0.5351380913316927,0.05178344623200677,0.09442929865617988
2019,quoted + night_only,1519,80395,5795,105040,81914,7314,0.20768389390210554,0.01854383866005811,0.03404760837405299
2019,quoted + FRP>=1,5432,144177,1882,41258,149609,7314,0.7426852611430134,0.03630797612443102,0.06923140648598357
2019,quoted + FRP>=5,4921,80543,2393,104892,85464,7314,0.6728192507519825,0.05757979968173734,0.10608118303908254
2019,quoted + FRP>=10,3474,44724,3840,140711,48198,7314,0.4749794913863823,0.07207767957176646,0.1251621271076524
2019,quoted + FRP>=20,1931,20866,5383,164569,22797,7314,0.2640142193054416,0.08470412773610562,0.12825877586264156
2019,quoted + FRP>=50,666,6519,6648,178916,7185,7314,0.09105824446267433,0.09269311064718162,0.09186840471756673
2019,quality_first_then_quoted,4756,142770,2558,42665,147526,7314,0.6502597757724912,0.032238385098219975,0.061431154740377164
2023,r=0.5km;t=0min;n>=2,9556,31606,6391,27229,41162,15947,0.5992349658242929,0.23215587192070355,0.33465828503388256
2023,r=0.5km;t=0min;n>=3,4721,16220,11226,42615,20941,15947,0.29604314291089234,0.22544291103576716,0.2559639991325092
2023,r=0.5km;t=0min;n>=5,716,3080,15231,55755,3796,15947,0.0448987270332978,0.1886195995785037,0.07253203667122525
2023,r=0.5km;t=10min;n>=2,9788,32508,6159,26327,42296,15947,0.6137831567065906,0.23141668242859845,0.3361090603162612
2023,r=0.5km;t=10min;n>=3,4903,16820,11044,42015,21723,15947,0.3074559478271775,0.2257054734613083,0.2603132466153438
2023,r=0.5km;t=10min;n>=5,802,3285,15145,55550,4087,15947,0.05029159089483915,0.19623195497920234,0.0800638913846461
2023,r=0.5km;t=30min;n>=2,10117,33786,5830,25049,43903,15947,0.6344139963629523,0.23043983326879713,0.33807852965747703
2023,r=0.5km;t=30min;n>=3,5181,17788,10766,41047,22969,15947,0.32488869379820656,0.22556489181070138,0.26626580326857846
2023,r=0.5km;t=30min;n>=5,928,3698,15019,55137,4626,15947,0.05819276352919044,0.20060527453523563,0.0902153307733437
2023,r=0.5km;t=60min;n>=2,12471,40936,3476,17899,53407,15947,0.7820279676428168,0.23350871608590634,0.35963318626178736
2023,r=0.5km;t=60min;n>=3,8840,28946,7107,29889,37786,15947,0.5543362387909951,0.23394908167045997,0.3290342992202185
